Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
0,0,0,0,Cooperator,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
0,0,0,0,Cooperator,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
1,0,1,0,Cooperator,Defector,CCCCCCCCCC,-50,-50,10,-5.0,-5.0,0,True,10,0,10,0,0,0,0,9,0,0,0,0,0,1
1,1,0,0,Defector,Cooperator,DDDDDDDDDD,0,50,10,0.0,5.0,1,False,0,0,0,10,0,0,0,0,0,0,9,0,0,0
2,0,2,0,Cooperator,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
2,2,0,0,Tit For Tat,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
3,0,3,0,Cooperator,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
3,3,0,0,Grudger,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
4,0,4,0,Cooperator,Danai - Random: 0.5,CCCCCCCCCC,-30,-25,10,-3.0,-2.5,0,True,10,5,5,0,0,5,0,4,0,0,0,0,0,1
4,4,0,0,Danai - Random: 0.5,Cooperator,CDDDCCCCDD,-5,25,10,-0.5,2.5,1,True,5,5,0,5,0,3,2,0,0,1,3,0,0,0
5,0,5,0,Cooperator,Jonas - Strategy1: 0.5,CCCCCCCCCC,-46,-45,10,-4.6,-4.5,0,True,10,1,9,0,0,1,0,8,0,0,0,0,0,1
5,5,0,0,Jonas - Strategy1: 0.5,Cooperator,CDDDDDDDDD,-1,45,10,-0.1,4.5,1,True,1,1,0,9,0,0,1,0,0,0,8,0,0,0
6,1,1,0,Defector,Defector,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
6,1,1,0,Defector,Defector,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
7,1,2,0,Defector,Tit For Tat,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
7,2,1,0,Tit For Tat,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
8,1,3,0,Defector,Grudger,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
8,3,1,0,Grudger,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
9,1,4,0,Defector,Danai - Random: 0.5,DDDDDDDDDD,-9,35,10,-0.9,3.5,1,False,0,0,0,7,3,0,0,0,0,0,7,0,2,0
